t_recv,t_capture_sec,t_capture_nanosec,latency_ms,x,y,z,qx,qy,qz,qw
1762455943.299112,1762455902,598996939,40700.115,-0.7682365775108337,-1.1282075643539429,0.05344613268971443,0.0006195768364705145,0.008456218056380749,-0.23836417496204376,0.9711388349533081
1762455943.317365,1762455902,614580693,40702.784,-0.7682543396949768,-1.1281700134277344,0.05344100296497345,0.0009789745090529323,0.009219015948474407,-0.23858864605426788,0.9710765480995178
1762455943.33217,1762455902,630586777,40701.583,-0.7682849764823914,-1.1281789541244507,0.05343230068683624,0.0010302462615072727,0.008958857506513596,-0.23859228193759918,0.9710780382156372
1762455943.3490634,1762455902,646513662,40702.550,-0.7682549953460693,-1.1281836032867432,0.05341930687427521,0.001048376550897956,0.009028751403093338,-0.23858954012393951,0.9710780382156372
1762455943.3603985,1762455902,661246540,40699.152,-0.7682322263717651,-1.1282061338424683,0.05344649776816368,0.0006126211956143379,0.00891061406582594,-0.23833028972148895,0.9711431264877319
1762455943.3826447,1762455902,678565291,40704.079,-0.7682937383651733,-1.1281770467758179,0.053433891385793686,0.0011953950161114335,0.00904962606728077,-0.2386123239994049,0.9710720777511597
1762455943.3919754,1762455902,693470398,40698.505,-0.7682235240936279,-1.1282082796096802,0.05344878509640694,0.00039838504744693637,0.008874887600541115,-0.23842032253742218,0.9711214303970337
1762455943.4099593,1762455902,709805505,40700.154,-0.7682624459266663,-1.1281955242156982,0.05343472585082054,0.0006614615558646619,0.00859890878200531,-0.2384977787733078,0.9711048007011414
1762455943.4262133,1762455902,726396999,40699.816,-0.768251895904541,-1.128200888633728,0.053450990468263626,0.0006798824178986251,0.009016172029078007,-0.23848330974578857,0.9711045622825623
1762455943.4454622,1762455902,740771731,40704.690,-0.7682798504829407,-1.128172755241394,0.053434573113918304,0.0009043891914188862,0.009099546819925308,-0.2386561781167984,0.9710610508918762
1762455943.4577253,1762455902,758305035,40699.420,-0.7682598829269409,-1.1281946897506714,0.05343369394540787,0.0006466796039603651,0.008675085380673409,-0.2383963167667389,0.9711290597915649
1762455943.5180016,1762455902,789656506,40728.345,-0.7682408094406128,-1.1282026767730713,0.053440771996974945,0.0005662341718561947,0.008784223347902298,-0.2383343130350113,0.971143364906311
1762455943.5506372,1762455902,851538952,40699.098,-0.7682485580444336,-1.1280581951141357,0.0534680001437664,0.0023033912293612957,0.008978249505162239,-0.24126937985420227,0.9704139232635498
1762455943.5658095,1762455902,866711131,40699.098,-0.7675925493240356,-1.1269659996032715,0.05343576520681381,0.001738239428959787,0.009236747398972511,-0.24296429753303528,0.9699897170066833
1762455943.5840619,1762455902,881190904,40702.871,-0.766954243183136,-1.125980257987976,0.05345063656568527,0.0024652283173054457,0.0094853350892663,-0.24167583882808685,0.9703075289726257
1762455943.6127534,1762455902,912933835,40699.820,-0.7624011635780334,-1.1180378198623657,0.05334782227873802,0.000654161733109504,0.00798752624541521,-0.236797034740448,0.9715261459350586
1762455943.6277905,1762455902,928692752,40699.098,-0.7589664459228516,-1.112105369567871,0.05322541296482086,0.00041139748645946383,0.00909079983830452,-0.23662130534648895,0.9715594053268433
1762455943.6450949,1762455902,942978157,40702.117,-0.7547188997268677,-1.1047083139419556,0.05321665480732918,0.0022377686109393835,0.009331811219453812,-0.23421747982501984,0.9721369743347168
1762455943.6611044,1762455902,959116241,40701.988,-0.7500641942024231,-1.0962151288986206,0.05328718572854996,0.0034756758250296116,0.007267377804964781,-0.23238986730575562,0.9725894331932068
1762455943.6921349,1762455902,990143928,40701.991,-0.7388586401939392,-1.0763272047042847,0.05331036448478699,0.0035397133324295282,0.008199374191462994,-0.22979997098445892,0.9731969237327576
1762455943.7204545,1762455903,21238243,40699.216,-0.7298234701156616,-1.0596351623535156,0.053211912512779236,-0.0023306896910071373,0.008700759150087833,-0.22583620250225067,0.9741237163543701
