t_recv,t_capture_sec,t_capture_nanosec,latency_ms,x,y,z,qx,qy,qz,qw
1762455943.2991872,1762455902,599767567,40699.419,-0.9391703009605408,-1.016143798828125,0.05147074908018112,0.009782259352505207,0.012668880634009838,-0.19981855154037476,0.9797021746635437
1762455943.3627656,1762455902,662416731,40700.349,-0.9391722679138184,-1.0161383152008057,0.05147750675678253,0.009546853601932526,0.012871123850345612,-0.1999197006225586,0.9796812534332275
1762455943.3827267,1762455902,680123869,40702.603,-0.9391838312149048,-1.0161484479904175,0.05148255452513695,0.009433301165699959,0.013070550747215748,-0.19982533156871796,0.9796990156173706
1762455943.3933344,1762455902,694773287,40698.561,-0.9391570091247559,-1.0161385536193848,0.051476720720529556,0.009314557537436485,0.013076670467853546,-0.1998576819896698,0.9796934127807617
1762455943.413449,1762455902,711198559,40702.250,-0.9391773343086243,-1.0161432027816772,0.05147210881114006,0.00954095646739006,0.012831690721213818,-0.1998707503080368,0.9796918034553528
1762455943.4283392,1762455902,727749755,40700.589,-0.9391674995422363,-1.0161324739456177,0.051478754729032516,0.009502962231636047,0.012682595290243626,-0.19970381259918213,0.9797281622886658
1762455943.4455445,1762455902,742151725,40703.393,-0.9391650557518005,-1.0161317586898804,0.051482364535331726,0.009497156366705894,0.012637736275792122,-0.19981759786605835,0.9797056317329407
1762455943.518091,1762455902,775165767,40742.925,-0.9391650557518005,-1.0161457061767578,0.05148229002952576,0.009438572451472282,0.012792568653821945,-0.1996830552816391,0.9797316193580627
1762455943.5190961,1762455902,790986772,40728.109,-0.9391525387763977,-1.0161393880844116,0.051469773054122925,0.009648866951465607,0.01274606492370367,-0.19988077878952026,0.9796898365020752
1762455943.5197752,1762455902,805860381,40713.915,-0.9391737580299377,-1.0161333084106445,0.05148277431726456,0.009488329291343689,0.012845312245190144,-0.1997653841972351,0.9797136187553406
1762455943.5240028,1762455902,821813875,40702.189,-0.9392215013504028,-1.016208529472351,0.051472537219524384,0.009592500515282154,0.012743106111884117,-0.20105278491973877,0.979450523853302
1762455943.5378158,1762455902,837129927,40700.686,-0.9391682744026184,-1.0161417722702026,0.05146776884794235,0.009649796411395073,0.012857446447014809,-0.19979116320610046,0.9797066450119019
1762455943.550928,1762455902,852621701,40698.306,-0.9391717910766602,-1.0161314010620117,0.05147833377122879,0.009391852654516697,0.012907401658594608,-0.20020046830177307,0.9796249866485596
1762455943.566673,1762455902,867833341,40698.840,-0.9388126134872437,-1.0151715278625488,0.05149773880839348,0.009709581732749939,0.014406188391149044,-0.2075071930885315,0.9780792593955994
1762455943.5847194,1762455902,882287692,40702.432,-0.9382210373878479,-1.0142080783843994,0.05141161009669304,0.011998632922768593,0.013012009672820568,-0.2096959948539734,0.977606475353241
1762455943.5994997,1762455902,898392043,40701.108,-0.9364808201789856,-1.01118004322052,0.051476381719112396,0.010998459532856941,0.01317463256418705,-0.2133687287569046,0.9768210649490356
1762455943.612841,1762455902,913715709,40699.125,-0.9335855841636658,-1.0068509578704834,0.05144954472780228,0.009622777812182903,0.012467729859054089,-0.2171008437871933,0.9760221838951111
1762455943.62786,1762455902,929883266,40697.977,-0.9297703504562378,-1.0010732412338257,0.051568347960710526,0.012579538859426975,0.012027017772197723,-0.2255992889404297,0.9740647077560425
1762455943.6452596,1762455902,944176912,40701.083,-0.9250161051750183,-0.9939737915992737,0.0514666922390461,0.010683893226087093,0.01329043135046959,-0.23411819338798523,0.9720586538314819
1762455943.66121,1762455902,960316464,40700.894,-0.9192661046981812,-0.9858092665672302,0.05169275030493736,0.012459760531783104,0.012833084911108017,-0.23820969462394714,0.9710490107536316
1762455943.6836412,1762455902,974990815,40708.650,-0.9125930070877075,-0.9765862822532654,0.051405731588602066,0.010753498412668705,0.011428301222622395,-0.24169285595417023,0.970225989818573
1762455943.7050426,1762455903,5847670,40699.195,-0.9015311002731323,-0.9619439244270325,0.05136539041996002,0.01012373436242342,0.01283563394099474,-0.24374979734420776,0.9697003364562988
1762455943.7899652,1762455903,36476842,40753.488,-0.8859381079673767,-0.9418173432350159,0.051510509103536606,0.006525919307023287,0.013832706026732922,-0.24322791397571564,0.9698486328125
1762455943.7910037,1762455903,67903462,40723.100,-0.8703275918960571,-0.921640157699585,0.05166658014059067,0.0014184936881065369,0.017875904217362404,-0.23527587950229645,0.9717632532119751
1762455943.7924888,1762455903,82791038,40709.698,-0.8628997206687927,-0.9114768505096436,0.051893141120672226,-0.010567110031843185,0.02214210294187069,-0.23019784688949585,0.972834587097168
1762455943.975496,1762455903,129375031,40846.121,-0.8448037505149841,-0.8860915899276733,0.05246252566576004,-0.05154809728264809,0.03747817873954773,-0.21675053238868713,0.9741445183753967
1762455943.9764018,1762455903,144499230,40831.903,-0.8395214676856995,-0.8786908984184265,0.05217834189534187,-0.04123493656516075,0.035959552973508835,-0.21060094237327576,0.9760398864746094
1762455943.9912999,1762455903,159841264,40831.459,-0.8342254757881165,-0.8709346055984497,0.05216507241129875,-0.03791548311710358,0.03362376615405083,-0.2084149569272995,0.976726770401001
1762455943.9944704,1762455903,177142275,40817.328,-0.829282820224762,-0.8632040023803711,0.052216917276382446,-0.034041304141283035,0.03054451011121273,-0.20533068478107452,0.9776234030723572
1762455943.9957125,1762455903,191318099,40804.394,-0.8267608284950256,-0.8593507409095764,0.052129559218883514,-0.03273305296897888,0.030486470088362694,-0.20299296081066132,0.9781579971313477
1762455943.996843,1762455903,206138768,40790.704,-0.8217566609382629,-0.8518872857093811,0.052141133695840836,-0.027159400284290314,0.030321622267365456,-0.1988363116979599,0.9791869521141052
