t_recv,t_capture_sec,t_capture_nanosec,latency_ms,x,y,z,qx,qy,qz,qw
1762455943.303897,1762455902,601725079,40702.172,-0.5856124758720398,-1.2317185401916504,0.056134115904569626,-0.014010212384164333,-0.012847412377595901,-0.20730485022068024,0.9780917763710022
1762455943.332336,1762455902,632440225,40699.896,-0.5856207609176636,-1.2317219972610474,0.05613095685839653,-0.01417074166238308,-0.01283883024007082,-0.20728819072246552,0.9780930280685425
1762455943.3513641,1762455902,647837084,40703.527,-0.585601806640625,-1.2317181825637817,0.05613885447382927,-0.014004039578139782,-0.012897097505629063,-0.20735298097133636,0.9780809283256531
1762455943.3637755,1762455902,664500655,40699.275,-0.5856165289878845,-1.2317276000976562,0.05613066628575325,-0.014301201328635216,-0.012943805195391178,-0.20735664665699005,0.9780752658843994
1762455943.518223,1762455902,791955820,40726.267,-0.5856145620346069,-1.2317227125167847,0.05612322315573692,-0.013872910290956497,-0.012831777334213257,-0.2073429375886917,0.9780858159065247
1762455943.5378964,1762455902,838175801,40699.721,-0.5856112241744995,-1.231715440750122,0.05613110214471817,-0.014377272687852383,-0.012884837575256824,-0.20737767219543457,0.9780704379081726
1762455943.5849462,1762455902,883915273,40701.031,-0.5856165289878845,-1.2317171096801758,0.05612871050834656,-0.014163043349981308,-0.01288639847189188,-0.20735330879688263,0.9780787825584412
1762455943.5996275,1762455902,899284615,40700.343,-0.5854820609092712,-1.2314391136169434,0.05620448663830757,-0.013443834148347378,-0.013979265466332436,-0.20717403292655945,0.9781118631362915
1762455943.6353464,1762455902,930819000,40704.527,-0.5833790898323059,-1.227082371711731,0.056199587881565094,-0.010350069031119347,-0.01268499344587326,-0.20502829551696777,0.9786191582679749
1762455943.6623826,1762455902,961720623,40700.662,-0.5781459212303162,-1.216847538948059,0.05614554509520531,-0.01127774640917778,-0.01241507288068533,-0.20261910557746887,0.9791139960289001
1762455943.684218,1762455902,976519571,40707.698,-0.5745631456375122,-1.2098345756530762,0.05614333972334862,-0.009992632083594799,-0.012161402963101864,-0.20417244732379913,0.9788084626197815
1762455943.705128,1762455903,6824889,40698.303,-0.5681136250495911,-1.1964900493621826,0.05605074763298035,-0.010701557621359825,-0.011708046309649944,-0.2072463184595108,0.9781602025032043
1762455943.7901404,1762455903,38326099,40751.814,-0.5573769807815552,-1.1755577325820923,0.056017618626356125,-0.010885343886911869,-0.012110831215977669,-0.2042388617992401,0.9787856936454773
1762455943.7911267,1762455903,54000438,40737.126,-0.551922619342804,-1.164384126663208,0.05595074221491814,-0.013439932838082314,-0.012053941376507282,-0.2014649659395218,0.9793293476104736
1762455943.975623,1762455903,146301833,40829.321,-0.5221354961395264,-1.1014072895050049,0.05622183158993721,-0.06367034465074539,0.00011176491534570232,-0.16974683105945587,0.9834288358688354
1762455943.9914298,1762455903,161967721,40829.462,-0.5176118612289429,-1.0905187129974365,0.05604192614555359,-0.07710739225149155,0.0020843527745455503,-0.1640740931034088,0.9834275841712952
1762455943.9946907,1762455903,178084295,40816.606,-0.5140641331672668,-1.0822871923446655,0.05583928897976875,-0.0667928084731102,-4.545490082819015e-05,-0.1589406430721283,0.9850262403488159
